CheckingAcctStat1,CheckingAcctStat2,CheckingAcctStat3,CheckingAcctStat4,Duration,CreditHistory1,CreditHistory2,CreditHistory3,CreditHistory4,CreditHistory5,Purpose1,Purpose2,Purpose3,Purpose4,Purpose5,Purpose6,Purpose7,Purpose8,Purpose9,Purpose10,Savings1,Savings2,Savings3,Savings4,Savings5,Employment1,Employment2,Employment3,Employment4,Employment5,InstallmentRatePecnt,PresentResidenceTime,Property1,Property2,Property3,Property4,Age,Telephone1,CreditScore
1,0,0,0,0.205882353,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.333333333,0.333333333,1,0,0,0,0.089285714,0,1
0,0,0,1,0.294117647,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.666666667,0,1,0,0,0.125,1,0
0,0,0,1,0.205882353,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333,0,0,0,1,0.232142857,1,0
1,0,0,0,0.647058824,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.666666667,0.333333333,0,0,1,0,0.214285714,1,1
0,0,1,0,0.029411765,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.333333333,0,0,1,0,0,0.178571429,0,0
1,0,0,0,0.029411765,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.333333333,0.666666667,1,0,0,0,0.446428571,0,0
0,0,0,1,0.205882353,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.333333333,1,0,0,0,0.196428571,0,1
1,0,0,0,0.117647059,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0.035714286,0,1
1,0,0,0,0.029411765,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.666666667,1,1,0,0,0,0.357142857,1,0
0,0,0,1,0.161764706,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.333333333,1,0,0,1,0,0.017857143,0,0
0,0,0,1,0.470588235,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0.303571429,0,0
0,1,0,0,0.294117647,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.339285714,0,1
0,1,0,0,0.205882353,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.333333333,1,1,0,0,0,0.375,0,0
0,0,0,1,0.044117647,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666667,1,0,0,0,1,0.303571429,0,0
0,0,1,0,0.470588235,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.333333333,0,0,1,0,0.125,0,1
1,0,0,0,0.294117647,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.333333333,0,0,1,0,0.178571429,0,1
1,0,0,0,0.161764706,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.446428571,1,0
0,1,0,0,0.823529412,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.333333333,0.333333333,0,0,0,1,0.142857143,0,0
